"filename", "language", "Properties", "Shell Script", "Kotlin", "SQL", "XML", "YAML", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ConceptFragmentBuilder.kt", "Kotlin", 0, 0, 54, 0, 0, 0, 0, 0, 3, 9, 66
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ControlConstructFragmentBuilder.kt", "Kotlin", 0, 0, 27, 0, 0, 0, 0, 0, 10, 8, 45
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderAnchor.kt", "Kotlin", 0, 0, 17, 0, 0, 0, 0, 0, 3, 3, 23
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderCode.kt", "Kotlin", 0, 0, 17, 0, 0, 0, 0, 0, 3, 5, 25
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderManageRep.kt", "Kotlin", 0, 0, 181, 0, 0, 0, 0, 0, 4, 22, 207
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstructionFragmentBuilder.kt", "Kotlin", 0, 0, 36, 0, 0, 0, 0, 0, 3, 6, 45
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstrumentFactory.kt", "Kotlin", 0, 0, 15, 0, 0, 0, 0, 0, 8, 4, 27
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstrumentFragmentBuilder.kt", "Kotlin", 0, 0, 45, 0, 0, 0, 0, 0, 5, 12, 62
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\PublicationFactory.kt", "Kotlin", 0, 0, 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\PublicationFragmentBuilder.kt", "Kotlin", 0, 0, 39, 0, 0, 0, 0, 0, 5, 7, 51
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\QuestionItemFactory.kt", "Kotlin", 0, 0, 17, 0, 0, 0, 0, 0, 3, 3, 23
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\QuestionItemFragmentBuilder.kt", "Kotlin", 0, 0, 48, 0, 0, 0, 0, 0, 5, 6, 59
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ResponseDomainFactory.kt", "Kotlin", 0, 0, 20, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ResponseDomainFragmentBuilder.kt", "Kotlin", 0, 0, 66, 0, 0, 0, 0, 0, 23, 3, 92
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ResponseDomainFragmentCollector.kt", "Kotlin", 0, 0, 18, 0, 0, 0, 0, 0, 3, 2, 23
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\TopicGroupFactory.kt", "Kotlin", 0, 0, 21, 0, 0, 0, 0, 0, 12, 9, 42
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\TopicGroupFragmentBuilder.kt", "Kotlin", 0, 0, 50, 0, 0, 0, 0, 0, 13, 9, 72
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\UniverseFragmentBuilder.kt", "Kotlin", 0, 0, 23, 0, 0, 0, 0, 0, 3, 5, 31
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\pdf\PdfReport.kt", "Kotlin", 0, 0, 273, 0, 0, 0, 0, 0, 14, 35, 322
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\pdf\TextFooterEventHandler.kt", "Kotlin", 0, 0, 41, 0, 0, 0, 0, 0, 4, 7, 52
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\AbstractXmlBuilder.kt", "Kotlin", 0, 0, 93, 0, 0, 0, 0, 0, 11, 13, 117
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\Html5Tags.kt", "Kotlin", 0, 0, 31, 0, 0, 0, 0, 0, 3, 2, 36
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDICommentsBuilder.kt", "Kotlin", 0, 0, 12, 0, 0, 0, 0, 0, 5, 7, 24
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDIFragmentAssembler.kt", "Kotlin", 0, 0, 66, 0, 0, 0, 0, 0, 4, 7, 77
