Date : 2021-03-01 16:35:28
Directory : c:\Users\stino\projects\kotlin24
Total : 202 files,  6501 codes, 1801 comments, 1536 blanks, all 9838 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\QuestionItemFactory.kt                       | Kotlin       |         17 |          3 |          3 |         23 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\QuestionItemFragmentBuilder.kt               | Kotlin       |         48 |          5 |          6 |         59 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ResponseDomainFactory.kt                     | Kotlin       |         20 |          1 |          3 |         24 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ResponseDomainFragmentBuilder.kt             | Kotlin       |         66 |         23 |          3 |         92 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ResponseDomainFragmentCollector.kt           | Kotlin       |         18 |          3 |          2 |         23 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\TopicGroupFactory.kt                         | Kotlin       |         21 |         12 |          9 |         42 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\TopicGroupFragmentBuilder.kt                 | Kotlin       |         50 |         13 |          9 |         72 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\UniverseFragmentBuilder.kt                   | Kotlin       |         23 |          3 |          5 |         31 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\pdf\PdfReport.kt                             | Kotlin       |        290 |         31 |         22 |        343 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\pdf\TextFooterEventHandler.kt                | Kotlin       |         41 |          3 |          7 |         51 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\AbstractXmlBuilder.kt                    | Kotlin       |         93 |         11 |         13 |        117 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\Html5Tags.kt                             | Kotlin       |         31 |          3 |          2 |         36 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDICommentsBuilder.kt                 | Kotlin       |         12 |          5 |          7 |         24 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDIFragmentAssembler.kt               | Kotlin       |         66 |          4 |          7 |         77 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDIFragmentBuilder.kt                 | Kotlin       |         35 |          3 |          8 |         46 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDIInstanceBuilder.kt                 | Kotlin       |         27 |          3 |          6 |         36 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractAuditFilter.kt                       | Kotlin       |         54 |          3 |          7 |         64 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractElementRef.kt                        | Kotlin       |         67 |          5 |         14 |         86 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractEntity.kt                            | Kotlin       |         29 |          4 |          7 |         40 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractEntityAudit.kt                       | Kotlin       |         84 |         14 |         24 |        122 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ConditionNode.kt                             | Kotlin       |         18 |          3 |          8 |         29 |
